"BehaviorSpace results (NetLogo 6.3.0)"
"TrabalhoPratico.nlogo"
"experiment"
"10/12/2023 19:03:24:105 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","energiaObtida","energiaHiena","nHienas","reproduzir?","EnergiaPerdidaCombate","nLeoes","AlimentoPeqPorte","descansoLeao","energiaLeao","FomeLeao","HienasMelhoradas?","AlimentoGrandePorte","LeoesMelhorados?","nCelulasAzuis","[step]","count hienas","count leoes","ticks"
"2","5","25","50","true","10","50","15","15","25","10","true","7","true","5","294","0","0","294"
"6","5","25","50","true","10","50","15","15","25","10","true","7","true","5","433","0","0","433"
"1","5","25","50","true","10","50","15","15","25","10","true","7","true","5","417","0","0","417"
"3","5","25","50","true","10","50","15","15","25","10","true","7","true","5","380","0","0","380"
"4","5","25","50","true","10","50","15","15","25","10","true","7","true","5","367","0","0","367"
"7","5","25","50","true","10","50","15","15","25","10","true","7","true","5","320","0","0","320"
"8","5","25","50","true","10","50","15","15","25","10","true","7","true","5","383","0","0","383"
"9","5","25","50","true","10","50","15","15","25","10","true","7","true","5","391","0","0","391"
"10","5","25","50","true","10","50","15","15","25","10","true","7","true","5","415","0","0","415"
"5","5","25","50","true","10","50","15","15","25","10","true","7","true","5","540","0","0","540"
"13","5","25","50","true","10","50","15","15","25","10","true","7","true","5","355","0","0","355"
"12","5","25","50","true","10","50","15","15","25","10","true","7","true","5","336","0","0","336"
"14","5","25","50","true","10","50","15","15","25","10","true","7","true","5","385","0","0","385"
"17","5","25","50","true","10","50","15","15","25","10","true","7","true","5","263","0","0","263"
"18","5","25","50","true","10","50","15","15","25","10","true","7","true","5","343","0","0","343"
"20","5","25","50","true","10","50","15","15","25","10","true","7","true","5","381","0","0","381"
"15","5","25","50","true","10","50","15","15","25","10","true","7","true","5","444","0","0","444"
"22","5","25","50","true","10","50","15","15","25","10","true","7","true","5","282","0","0","282"
"11","5","25","50","true","10","50","15","15","25","10","true","7","true","5","348","0","0","348"
"19","5","25","50","true","10","50","15","15","25","10","true","7","true","5","558","0","0","558"
"16","5","25","50","true","10","50","15","15","25","10","true","7","true","5","388","0","0","388"
"21","5","25","50","true","10","50","15","15","25","10","true","7","true","5","690","0","0","690"
"24","5","25","50","true","10","50","15","15","25","10","true","7","true","5","385","0","0","385"
"26","5","25","50","true","10","50","15","15","25","10","true","7","true","5","355","0","0","355"
"23","5","25","50","true","10","50","15","15","25","10","true","7","true","5","265","0","0","265"
"29","5","25","50","true","10","50","15","15","25","10","true","7","true","5","294","0","0","294"
"25","5","25","50","true","10","50","15","15","25","10","true","7","true","5","287","0","0","287"
"28","5","25","50","true","10","50","15","15","25","10","true","7","true","5","344","0","0","344"
"32","5","25","50","true","10","50","15","15","25","10","true","7","true","5","280","0","0","280"
"27","5","25","50","true","10","50","15","15","25","10","true","7","true","5","306","0","0","306"
"30","5","25","50","true","10","50","15","15","25","10","true","7","true","5","395","0","0","395"
