"BehaviorSpace results (NetLogo 6.3.0)"
"TrabalhoPratico.nlogo"
"experiment"
"10/12/2023 18:57:30:763 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","energiaObtida","energiaHiena","nHienas","reproduzir?","EnergiaPerdidaCombate","nLeoes","AlimentoPeqPorte","descansoLeao","energiaLeao","FomeLeao","HienasMelhoradas?","AlimentoGrandePorte","LeoesMelhorados?","nCelulasAzuis","[step]","count hienas","count leoes","ticks"
"71","25","25","50","true","10","50","5","15","25","10","true","1","true","5","4123","0","0","4123"
"73","25","25","50","true","10","50","5","15","25","10","true","1","true","5","4232","0","0","4232"
"74","25","25","50","true","10","50","5","15","25","10","true","1","true","5","2698","0","0","2698"
"75","25","25","50","true","10","50","5","15","25","10","true","1","true","5","3096","0","0","3096"
"72","25","25","50","true","10","50","5","15","25","10","true","1","true","5","5589","0","0","5589"
"76","25","25","50","true","10","50","5","15","25","10","true","1","true","5","3797","0","0","3797"
"77","25","25","50","true","10","50","5","15","25","10","true","1","true","5","2192","0","0","2192"
"78","25","25","50","true","10","50","5","15","25","10","true","1","true","5","5459","0","0","5459"
"82","25","25","50","true","10","50","5","15","25","10","true","1","true","5","3787","0","0","3787"
"80","25","25","50","true","10","50","5","15","25","10","true","1","true","5","4931","0","0","4931"
"84","25","25","50","true","10","50","5","15","25","10","true","1","true","5","3158","0","0","3158"
"86","25","25","50","true","10","50","5","15","25","10","true","1","true","5","1868","0","0","1868"
"85","25","25","50","true","10","50","5","15","25","10","true","1","true","5","4006","0","0","4006"
"83","25","25","50","true","10","50","5","15","25","10","true","1","true","5","5998","0","0","5998"
"79","25","25","50","true","10","50","5","15","25","10","true","1","true","5","8397","0","0","8397"
"89","25","25","50","true","10","50","5","15","25","10","true","1","true","5","1169","0","0","1169"
"81","25","25","50","true","10","50","5","15","25","10","true","1","true","5","10000","0","1","10000"
"92","25","25","50","true","10","50","5","15","25","10","true","1","true","5","1112","0","0","1112"
"90","25","25","50","true","10","50","5","15","25","10","true","1","true","5","3569","0","0","3569"
"93","25","25","50","true","10","50","5","15","25","10","true","1","true","5","4683","0","0","4683"
"87","25","25","50","true","10","50","5","15","25","10","true","1","true","5","10000","0","2","10000"
"88","25","25","50","true","10","50","5","15","25","10","true","1","true","5","10000","0","1","10000"
"94","25","25","50","true","10","50","5","15","25","10","true","1","true","5","8365","0","0","8365"
"98","25","25","50","true","10","50","5","15","25","10","true","1","true","5","2538","0","0","2538"
"95","25","25","50","true","10","50","5","15","25","10","true","1","true","5","10000","0","2","10000"
"91","25","25","50","true","10","50","5","15","25","10","true","1","true","5","8253","0","0","8253"
"96","25","25","50","true","10","50","5","15","25","10","true","1","true","5","3883","0","0","3883"
"97","25","25","50","true","10","50","5","15","25","10","true","1","true","5","5989","0","0","5989"
"100","25","25","50","true","10","50","5","15","25","10","true","1","true","5","4242","0","0","4242"
"99","25","25","50","true","10","50","5","15","25","10","true","1","true","5","10000","0","1","10000"
