"BehaviorSpace results (NetLogo 6.3.0)"
"TrabalhoPratico.nlogo"
"experiment"
"10/12/2023 19:05:20:084 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","energiaObtida","energiaHiena","nHienas","reproduzir?","EnergiaPerdidaCombate","nLeoes","AlimentoPeqPorte","descansoLeao","energiaLeao","FomeLeao","HienasMelhoradas?","AlimentoGrandePorte","LeoesMelhorados?","nCelulasAzuis","[step]","count hienas","count leoes","ticks"
"74","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","33","0","10000"
"71","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","43","0","10000"
"73","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","46","0","10000"
"75","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","31","0","10000"
"76","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","29","0","10000"
"70","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","54","0","10000"
"78","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","23","0","10000"
"80","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"83","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","33","0","10000"
"79","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","42","0","10000"
"77","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","45","0","10000"
"81","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","43","0","10000"
"88","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","17","0","10000"
"84","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","30","0","10000"
"82","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","50","0","10000"
"85","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","38","0","10000"
"86","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"90","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","28","0","10000"
"87","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","40","0","10000"
"89","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","31","0","10000"
"91","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","34","0","10000"
"92","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","35","0","10000"
"94","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","29","0","10000"
"93","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","43","0","10000"
"97","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","25","0","10000"
"95","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","41","0","10000"
"96","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","36","0","10000"
"98","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","28","0","10000"
"100","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"99","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","41","0","10000"
